iso3,count_col1,count_col2,count_col3,count_col4,count_scol1,count_scol2,count_scol3,free,total_col
NER,0,0,0,0,0,0,0,0,0
NFK,0,0,0,0,0,0,0,0,0
NGA,0,0,0,0,0,0,0,0,0
NIC,0,0,0,0,0,0,0,0,0
NIU,0,0,0,0,0,0,0,0,0
NLD,30,30,0,0,30,30,0,0,60
NOR,0,0,0,0,0,0,0,0,0
NPL,0,0,0,0,0,0,0,1,0
NRU,0,0,0,0,0,0,0,0,0
NZL,0,4,0,0,0,0,0,0,4
OMN,0,0,0,0,0,0,0,0,0
PAK,0,0,0,0,0,0,0,0,0
PAL,0,0,0,0,0,0,0,0,0
PAN,0,0,0,0,0,0,0,0,0
PCN,0,0,0,0,0,0,0,0,0
PER,0,0,0,0,0,0,0,0,0
PHL,0,0,0,0,0,0,0,0,0
PLW,0,0,0,0,0,0,0,0,0
PNG,0,0,0,0,0,0,0,0,0
POL,0,0,0,0,1,0,0,0,0
PRI,0,0,0,0,0,0,0,0,0
PRK,0,0,0,0,0,0,0,0,0
PRT,9,0,0,0,0,0,0,1,9
PRY,0,0,0,0,0,0,0,0,0
PYF,0,0,0,0,0,0,0,0,0
QAT,0,0,0,0,0,0,0,0,0
REU,0,0,0,0,0,0,0,0,0
ROM,0,0,0,0,0,0,0,0,0
RUS,15,15,0,0,15,0,0,1,30
RWA,0,0,0,0,0,0,0,0,0
SAU,0,0,0,0,0,0,0,1,0
SDN,0,0,0,0,0,0,0,0,0
SEN,0,0,0,0,0,0,0,0,0
SGP,0,0,0,0,0,0,0,0,0
SHN,0,0,0,0,0,0,0,0,0
SLB,0,0,0,0,0,0,0,0,0
SLE,0,0,0,0,0,0,0,0,0
SLV,0,0,0,0,0,0,0,0,0
SMR,0,0,0,0,0,0,0,1,0
SOM,0,0,0,0,0,0,0,0,0
SPM,0,0,0,0,0,0,0,0,0
STP,0,0,0,0,0,0,0,0,0
SUR,0,0,0,0,0,0,0,0,0
SVK,0,0,0,0,0,0,0,0,0
SVN,0,0,0,0,0,0,0,0,0
SWE,0,2,0,0,2,0,0,1,2
SWZ,0,0,0,0,0,0,0,0,0
SYC,0,0,0,0,0,0,0,0,0
SYR,0,0,0,0,0,0,0,0,0
TCA,0,0,0,0,0,0,0,0,0
TCD,0,0,0,0,0,0,0,0,0
TGO,0,0,0,0,0,0,0,0,0
THA,0,0,0,0,0,0,0,1,0
TJK,0,0,0,0,0,0,0,0,0
TKL,0,0,0,0,0,0,0,0,0
TKM,0,0,0,0,0,0,0,0,0
TMP,0,0,0,0,0,0,0,0,0
TON,0,0,0,0,0,0,0,0,0
TTO,0,0,0,0,0,0,0,0,0
TUN,0,0,0,0,0,0,0,0,0
TUR,378,378,0,0,378,0,0,1,756
TUV,0,0,0,0,0,0,0,0,0
TWN,0,0,0,0,0,0,0,0,0
TZA,0,0,0,0,0,0,0,0,0
UGA,0,0,0,0,0,0,0,0,0
UKR,0,0,0,0,0,0,0,0,0
URY,0,0,0,0,0,0,0,0,0
USA,0,12,12,0,12,0,0,0,24
UZB,0,0,0,0,0,0,0,0,0
VCT,0,0,0,0,0,0,0,0,0
VEN,0,0,0,0,0,0,0,0,0
VGB,0,0,0,0,0,0,0,0,0
VNM,0,0,0,0,0,0,0,0,0
VUT,0,0,0,0,0,0,0,0,0
WLF,0,0,0,0,0,0,0,0,0
WSM,0,0,0,0,0,0,0,0,0
YEM,0,0,0,0,0,0,0,0,0
YUG,0,0,0,0,4,0,0,0,0
ZAF,0,2,0,0,0,0,0,0,2
ZAR,0,0,0,0,0,0,0,0,0
ZMB,0,0,0,0,0,0,0,0,0
ZWE,0,0,0,0,0,0,0,0,0
