gender,max,min,mean,std,count,ci_80,ci_85,ci_90,ci_95,ci_99,ci_995,ci_999
Female,99.98587036132808,25.7351608276367,81.72441611289977,22.063092151451794,80,3.1623461834316995,3.552089316803157,4.057768698709162,4.834788236759853,6.354293111170093,6.924107439073932,8.118004126110549
Male,99.9999771118164,40.264808654785206,87.32723045349121,15.987414835732864,80,2.2915074614957067,2.5739241377174866,2.9403508378786567,3.503396743004357,4.604464290805726,5.0173646212312395,5.882489123075173
