sex,n_child,year,low,mean,high,trend
F,0,2015,12.28854010803408,16.493548387096773,20.698556666159465,16.471259280593927
F,0,2016,12.123541138819261,16.341935483870966,20.56032982892267,16.157043650793526
F,0,2017,11.542051077851863,15.559375000000001,19.57669892214814,15.842828020993238
F,0,2018,11.399726526120975,15.454838709677418,19.50995089323386,15.52861239119295
F,0,2019,11.339370924238995,15.361290322580645,19.383209720922295,15.214396761392663
F,0,2020,10.678525715123813,14.903333333333336,19.12814095154286,14.900181131592376
F,1,2015,15.365539136373894,21.893548387096768,28.421557637819642,22.409151967794855
F,1,2016,16.06060889837862,22.653333333333343,29.246057768288065,22.104234228507835
F,1,2017,15.269109464961565,21.654838709677417,28.040567954393268,21.799316489220814
F,1,2018,15.504949275679554,21.99666666666666,28.488384057653764,21.494398749933794
F,1,2019,14.460622967423154,21.0,27.539377032576844,21.189481010646773
F,1,2020,14.168541835943524,20.682758620689658,27.196975405435794,20.88456327135964
F,2,2015,17.6050131254635,25.487096774193546,33.36918042292359,26.224724473400784
F,2,2016,18.361134918315617,26.40333333333333,34.445531748351044,25.94762197856528
F,2,2017,18.041941248531273,26.023333333333333,34.00472541813539,25.670519483729777
F,2,2018,17.63966123563042,25.57333333333333,33.50700543103624,25.39341698889416
F,2,2019,17.78155263948163,25.563333333333333,33.34511402718503,25.116314494058656
F,2,2020,16.39837708740219,24.141379310344828,31.884381533287467,24.839211999223153
M,0,2015,6.458365929925385,8.184375000000001,9.910384070074617,8.330753968253958
M,0,2016,6.708595703244597,8.453125,10.197654296755404,8.218313492063487
M,0,2017,6.404902689312161,8.2,9.995097310687838,8.105873015873016
M,0,2018,6.072152198235268,7.784374999999999,9.496597801764729,7.993432539682544
M,0,2019,6.001308211523218,7.809374999999999,9.61744178847678,7.8809920634920445
M,0,2020,5.843012783823086,7.866666666666665,9.890320549510244,7.768551587301573
M,1,2015,4.516811330817253,5.626666666666665,6.736522002516077,5.683141762452095
M,1,2016,4.662973609728097,5.863333333333334,7.063693056938571,5.605417624521067
M,1,2017,4.272298813129918,5.4931034482758605,6.713908083421803,5.527693486590039
M,1,2018,4.07277314327134,5.2733333333333325,6.473893523395325,5.449969348658982
M,1,2019,3.8694235529084207,5.080000000000001,6.290576447091581,5.372245210727954
M,1,2020,3.9511254960568674,5.596551724137931,7.241977952218994,5.294521072796925
M,2,2015,3.7601621275994908,4.638709677419354,5.5172572272392175,4.617309885763717
M,2,2016,3.5798857406090487,4.506666666666666,5.433447592724283,4.540453166657812
M,2,2017,3.55495847805346,4.446666666666667,5.338374855279874,4.463596447551936
M,2,2018,3.5109336320725832,4.446666666666666,5.382399701260749,4.386739728446059
M,2,2019,3.3299341038990145,4.268965517241378,5.207996930583742,4.309883009340155
M,2,2020,3.1578660025105565,4.243333333333334,5.328800664156112,4.233026290234278
