date,diff_km
1980-08-12,13714.0
1980-08-13,16397.0
1980-08-14,18472.0
1980-08-15,19738.0
1980-08-16,20012.0
1980-08-17,19155.0
1980-08-18,17089.0
1980-08-19,13823.0
1980-08-20,9462.0
1980-08-21,4220.0
1980-08-22,-1586.0
1980-08-23,-7547.0
1980-08-24,-13195.0
1980-08-25,-18055.0
1980-08-26,-21704.0
1980-08-27,-23843.0
1980-08-28,-24339.0
1980-08-29,-23248.0
1980-08-30,-20788.0
1980-08-31,-17285.0
1980-09-01,-13104.0
1980-09-02,-8594.0
1980-09-03,-4040.0
1980-09-04,349.0
1980-09-05,4444.0
1980-09-06,8175.0
1980-09-07,11510.0
1980-09-08,14428.0
1980-09-09,16901.0
1980-09-10,18875.0
1980-09-11,20267.0
1980-09-12,20967.0
1980-09-13,20849.0
1980-09-14,19791.0
1980-09-15,17694.0
1980-09-16,14511.0
1980-09-17,10264.0
1980-09-18,5073.0
1980-09-19,-837.0
1980-09-20,-7125.0
1980-09-21,-13351.0
1980-09-22,-19006.0
1980-09-23,-23572.0
1980-09-24,-26599.0
1980-09-25,-27786.0
1980-09-26,-27042.0
1980-09-27,-24499.0
1980-09-28,-20480.0
1980-09-29,-15427.0
1980-09-30,-9817.0
1980-10-01,-4094.0
1980-10-02,1383.0
1980-10-03,6353.0
1980-10-04,10659.0
1980-10-05,14227.0
1980-10-06,17048.0
1980-10-07,19145.0
1980-10-08,20554.0
1980-10-09,21302.0
1980-10-10,21393.0
1980-10-11,20802.0
1980-10-12,19480.0
1980-10-13,17367.0
1980-10-14,14408.0
1980-10-15,10581.0
1980-10-16,5921.0
1980-10-17,542.0
1980-10-18,-5336.0
1980-10-19,-11386.0
1980-10-20,-17179.0
1980-10-21,-22222.0
1980-10-22,-26012.0
1980-10-23,-28125.0
1980-10-24,-28300.0
1980-10-25,-26493.0
1980-10-26,-22895.0
1980-10-27,-17890.0
1980-10-28,-11976.0
1980-10-29,-5680.0
1980-10-30,512.0
1980-10-31,6205.0
1980-11-01,11119.0
1980-11-02,15082.0
1980-11-03,18028.0
1980-11-04,19969.0
1980-11-05,20974.0
1980-11-06,21141.0
1980-11-07,20577.0
1980-11-08,19372.0
1980-11-09,17595.0
1980-11-10,15279.0
1980-11-11,12432.0
1980-11-12,9051.0
1980-11-13,5136.0
1980-11-14,724.0
1980-11-15,-4090.0
1980-11-16,-9127.0
1980-11-17,-14118.0
1980-11-18,-18704.0
1980-11-19,-22470.0
1980-11-20,-25003.0
1980-11-21,-25960.0
1980-11-22,-25146.0
1980-11-23,-22561.0
1980-11-24,-18416.0
1980-11-25,-13090.0
1980-11-26,-7067.0
1980-11-27,-859.0
1980-11-28,5059.0
1980-11-29,10294.0
1980-11-30,14559.0
1980-12-01,17685.0
1980-12-02,19608.0
1980-12-03,20359.0
1980-12-04,20044.0
1980-12-05,18819.0
1980-12-06,16869.0
1980-12-07,14378.0
1980-12-08,11512.0
1980-12-09,8401.0
1980-12-10,5133.0
1980-12-11,1758.0
1980-12-12,-1699.0
1980-12-13,-5212.0
1980-12-14,-8732.0
1980-12-15,-12160.0
1980-12-16,-15332.0
1980-12-17,-18017.0
1980-12-18,-19944.0
1980-12-19,-20837.0
1980-12-20,-20473.0
1980-12-21,-18737.0
1980-12-22,-15659.0
1980-12-23,-11428.0
1980-12-24,-6364.0
1980-12-25,-879.0
1980-12-26,4586.0
1980-12-27,9607.0
1980-12-28,13825.0
1980-12-29,16970.0
