date,diff_km
2020-01-01,18666.0
2020-01-02,19386.0
2020-01-03,18811.0
2020-01-04,16924.0
2020-01-05,13816.0
2020-01-06,9678.0
2020-01-07,4800.0
2020-01-08,-451.0
2020-01-09,-5665.0
2020-01-10,-10428.0
2020-01-11,-14374.0
2020-01-12,-17235.0
2020-01-13,-18871.0
2020-01-14,-19285.0
2020-01-15,-18603.0
2020-01-16,-17028.0
2020-01-17,-14798.0
2020-01-18,-12128.0
2020-01-19,-9190.0
2020-01-20,-6093.0
2020-01-21,-2894.0
2020-01-22,381.0
2020-01-23,3712.0
2020-01-24,7060.0
2020-01-25,10347.0
2020-01-26,13445.0
2020-01-27,16183.0
2020-01-28,18359.0
2020-01-29,19761.0
2020-01-30,20189.0
2020-01-31,19486.0
2020-02-01,17556.0
2020-02-02,14391.0
2020-02-03,10083.0
2020-02-04,4834.0
2020-02-05,-1041.0
2020-02-06,-7129.0
2020-02-07,-12951.0
2020-02-08,-18008.0
2020-02-09,-21853.0
2020-02-10,-24157.0
2020-02-11,-24767.0
2020-02-12,-23726.0
2020-02-13,-21253.0
2020-02-14,-17686.0
2020-02-15,-13411.0
2020-02-16,-8798.0
2020-02-17,-4152.0
2020-02-18,305.0
2020-02-19,4435.0
2020-02-20,8171.0
2020-02-21,11487.0
2020-02-22,14376.0
2020-02-23,16824.0
2020-02-24,18791.0
2020-02-25,20207.0
2020-02-26,20970.0
2020-02-27,20956.0
2020-02-28,20039.0
2020-02-29,18109.0
2020-03-01,15103.0
2020-03-02,11023.0
2020-03-03,5964.0
2020-03-04,130.0
2020-03-05,-6161.0
2020-03-06,-12482.0
2020-03-07,-18326.0
2020-03-08,-23163.0
2020-03-09,-26515.0
2020-03-10,-28040.0
2020-03-11,-27600.0
2020-03-12,-25290.0
2020-03-13,-21408.0
2020-03-14,-16392.0
2020-03-15,-10731.0
2020-03-16,-4889.0
2020-03-17,744.0
2020-03-18,5883.0
2020-03-19,10347.0
2020-03-20,14046.0
2020-03-21,16963.0
2020-03-22,19120.0
2020-03-23,20561.0
2020-03-24,21322.0
2020-03-25,21423.0
2020-03-26,20853.0
2020-03-27,19576.0
2020-03-28,17540.0
2020-03-29,14695.0
2020-03-30,11011.0
2020-03-31,6511.0
2020-04-01,1292.0
2020-04-02,-4454.0
2020-04-03,-10426.0
2020-04-04,-16221.0
2020-04-05,-21362.0
2020-04-06,-25352.0
2020-04-07,-27752.0
2020-04-08,-28265.0
2020-04-09,-26806.0
2020-04-10,-23517.0
2020-04-11,-18746.0
2020-04-12,-12968.0
2020-04-13,-6707.0
2020-04-14,-461.0
2020-04-15,5358.0
2020-04-16,10440.0
2020-04-17,14591.0
2020-04-18,17721.0
2020-04-19,19822.0
2020-04-20,20950.0
2020-04-21,21199.0
2020-04-22,20673.0
2020-04-23,19472.0
2020-04-24,17675.0
2020-04-25,15331.0
2020-04-26,12465.0
2020-04-27,9085.0
2020-04-28,5201.0
2020-04-29,854.0
2020-04-30,-3866.0
2020-05-01,-8795.0
2020-05-02,-13680.0
2020-05-03,-18186.0
2020-05-04,-21922.0
2020-05-05,-24489.0
2020-05-06,-25552.0
2020-05-07,-24906.0
2020-05-08,-22532.0
2020-05-09,-18608.0
2020-05-10,-13484.0
2020-05-11,-7618.0
2020-05-12,-1505.0
2020-05-13,4386.0
2020-05-14,9659.0
2020-05-15,14018.0
2020-05-16,17278.0
2020-05-17,19356.0
2020-05-18,20266.0
2020-05-19,20093.0
2020-05-20,18981.0
2020-05-21,17099.0
2020-05-22,14627.0
2020-05-23,11730.0
2020-05-24,8546.0
2020-05-25,5175.0
2020-05-26,1684.0
2020-05-27,-1882.0
2020-05-28,-5481.0
2020-05-29,-9049.0
2020-05-30,-12479.0
2020-05-31,-15608.0
2020-06-01,-18214.0
2020-06-02,-20039.0
2020-06-03,-20830.0
2020-06-04,-20382.0
2020-06-05,-18597.0
2020-06-06,-15514.0
2020-06-07,-11320.0
2020-06-08,-6327.0
2020-06-09,-931.0
2020-06-10,4445.0
2020-06-11,9393.0
2020-06-12,13568.0
2020-06-13,16708.0
2020-06-14,18648.0
2020-06-15,19326.0
2020-06-16,18776.0
2020-06-17,17121.0
2020-06-18,14549.0
2020-06-19,11298.0
2020-06-20,7630.0
2020-06-21,3800.0
2020-06-22,37.0
2020-06-23,-3483.0
2020-06-24,-6642.0
2020-06-25,-9379.0
2020-06-26,-11676.0
2020-06-27,-13532.0
2020-06-28,-14940.0
2020-06-29,-15866.0
2020-06-30,-16237.0
2020-07-01,-15958.0
2020-07-02,-14922.0
2020-07-03,-13056.0
2020-07-04,-10342.0
2020-07-05,-6851.0
2020-07-06,-2747.0
2020-07-07,1720.0
2020-07-08,6243.0
2020-07-09,10485.0
2020-07-10,14122.0
2020-07-11,16869.0
2020-07-12,18508.0
2020-07-13,18905.0
2020-07-14,18021.0
2020-07-15,15915.0
2020-07-16,12740.0
2020-07-17,8737.0
2020-07-18,4211.0
2020-07-19,-493.0
2020-07-20,-5024.0
2020-07-21,-9064.0
2020-07-22,-12365.0
2020-07-23,-14776.0
2020-07-24,-16248.0
2020-07-25,-16824.0
2020-07-26,-16608.0
2020-07-27,-15733.0
2020-07-28,-14322.0
2020-07-29,-12466.0
2020-07-30,-10218.0
2020-07-31,-7603.0
2020-08-01,-4635.0
2020-08-02,-1345.0
2020-08-03,2200.0
2020-08-04,5882.0
2020-08-05,9527.0
2020-08-06,12921.0
2020-08-07,15822.0
2020-08-08,17987.0
2020-08-09,19197.0
2020-08-10,19281.0
2020-08-11,18137.0
2020-08-12,15748.0
2020-08-13,12195.0
2020-08-14,7663.0
2020-08-15,2436.0
2020-08-16,-3119.0
2020-08-17,-8575.0
2020-08-18,-13492.0
2020-08-19,-17474.0
2020-08-20,-20217.0
2020-08-21,-21559.0
2020-08-22,-21499.0
2020-08-23,-20174.0
2020-08-24,-17829.0
2020-08-25,-14749.0
2020-08-26,-11214.0
2020-08-27,-7460.0
2020-08-28,-3659.0
2020-08-29,81.0
2020-08-30,3694.0
2020-08-31,7140.0
2020-09-01,10379.0
2020-09-02,13352.0
2020-09-03,15968.0
2020-09-04,18103.0
2020-09-05,19605.0
2020-09-06,20313.0
2020-09-07,20071.0
2020-09-08,18753.0
2020-09-09,16288.0
2020-09-10,12677.0
2020-09-11,8020.0
2020-09-12,2518.0
2020-09-13,-3513.0
2020-09-14,-9660.0
2020-09-15,-15437.0
2020-09-16,-20342.0
