date,diff_km
2224-01-01,12161.0
2225-01-01,-8057.0
2226-01-01,-33269.0
2227-01-01,2081.0
2228-01-01,11498.0
2229-01-01,-11162.0
2230-01-01,-33007.0
2231-01-01,5724.0
2232-01-01,11334.0
2233-01-01,-15535.0
2234-01-01,-30579.0
2235-01-01,7987.0
2236-01-01,11154.0
2237-01-01,-19941.0
2238-01-01,-27465.0
2239-01-01,9741.0
2240-01-01,10803.0
2241-01-01,-24674.0
2242-01-01,-22926.0
2243-01-01,10517.0
2244-01-01,9917.0
2245-01-01,-28862.0
2246-01-01,-18017.0
2247-01-01,10765.0
2248-01-01,8573.0
2249-01-01,-32432.0
2250-01-01,-12984.0
2251-01-01,11189.0
2252-01-01,5729.0
2253-01-01,-34298.0
2254-01-01,-8447.0
2255-01-01,11354.0
2256-01-01,2567.0
2257-01-01,-35318.0
2258-01-01,-4350.0
2259-01-01,11977.0
2260-01-01,-1958.0
2261-01-01,-34155.0
2262-01-01,-1490.0
2263-01-01,12725.0
2264-01-01,-6687.0
2265-01-01,-32119.0
2266-01-01,715.0
2267-01-01,13507.0
2268-01-01,-11667.0
2269-01-01,-28876.0
2270-01-01,2191.0
2271-01-01,13761.0
2272-01-01,-16091.0
2273-01-01,-25064.0
2274-01-01,2904.0
2275-01-01,13909.0
2276-01-01,-20074.0
2277-01-01,-21151.0
2278-01-01,3902.0
2279-01-01,12538.0
2280-01-01,-22427.0
2281-01-01,-17596.0
2282-01-01,4740.0
2283-01-01,10840.0
2284-01-01,-24146.0
2285-01-01,-14402.0
2286-01-01,6103.0
2287-01-01,7832.0
2288-01-01,-24420.0
2289-01-01,-12112.0
2290-01-01,7811.0
2291-01-01,4320.0
2292-01-01,-23960.0
2293-01-01,-10560.0
2294-01-01,9933.0
2295-01-01,385.0
2296-01-01,-23261.0
2297-01-01,-9330.0
2298-01-01,11639.0
2299-01-01,-3254.0
2300-01-01,-22281.0
2301-01-01,-15108.0
2302-01-01,12278.0
2303-01-01,-1644.0
2304-01-01,-19499.0
2305-01-01,-14223.0
2306-01-01,13629.0
2307-01-01,-3446.0
2308-01-01,-20799.0
2309-01-01,-12880.0
2310-01-01,14488.0
2311-01-01,-4867.0
2312-01-01,-22764.0
2313-01-01,-10553.0
2314-01-01,14289.0
2315-01-01,-5911.0
2316-01-01,-24835.0
2317-01-01,-7492.0
2318-01-01,13294.0
2319-01-01,-6490.0
2320-01-01,-27477.0
2321-01-01,-3417.0
2322-01-01,11677.0
2323-01-01,-7693.0
2324-01-01,-29286.0
2325-01-01,403.0
2326-01-01,10127.0
2327-01-01,-9124.0
2328-01-01,-30884.0
2329-01-01,4738.0
2330-01-01,8286.0
2331-01-01,-11451.0
2332-01-01,-31155.0
2333-01-01,8089.0
2334-01-01,7048.0
2335-01-01,-14453.0
2336-01-01,-30197.0
2337-01-01,10839.0
2338-01-01,6158.0
2339-01-01,-18357.0
2340-01-01,-27740.0
2341-01-01,12617.0
2342-01-01,5211.0
2343-01-01,-22255.0
2344-01-01,-24281.0
2345-01-01,13478.0
2346-01-01,4690.0
2347-01-01,-26758.0
2348-01-01,-19408.0
2349-01-01,13421.0
2350-01-01,3433.0
2351-01-01,-30341.0
2352-01-01,-14600.0
2353-01-01,13233.0
2354-01-01,1723.0
2355-01-01,-33403.0
2356-01-01,-9336.0
2357-01-01,12548.0
2358-01-01,-957.0
2359-01-01,-35087.0
2360-01-01,-4724.0
2361-01-01,12065.0
2362-01-01,-4419.0
2363-01-01,-35341.0
2364-01-01,-853.0
2365-01-01,12006.0
2366-01-01,-9061.0
2367-01-01,-33888.0
2368-01-01,2109.0
2369-01-01,11679.0
2370-01-01,-13722.0
2371-01-01,-31450.0
2372-01-01,4250.0
2373-01-01,11784.0
2374-01-01,-19120.0
2375-01-01,-27454.0
2376-01-01,5376.0
2377-01-01,11293.0
